Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode2_1,K_wc_Mode2_2
3,1,0.0617565673537932,0.019415510221519,0.00764370480945619,0.0453350848740477,0.0578516754437884,42,88,0.529904778097895,-0.426538166878325,0.886924202258357,-1.07603111083111
3,2,0.0522086257172281,0.0200844371924604,0.00720431319305618,0.0452898406292084,0.0578461196123019,45,89,0.566773145154273,-0.453553929934494,0.885632636860212,-1.07794767412075
3,3,0.0502099683186013,0.0197766198653648,0.00659309603944054,0.0453531836722534,0.0577687031542057,48,90,0.533830199283344,-0.430621698070093,0.893990978349323,-1.08557161275824
3,4,0.0495833227076672,0.0199274877533298,0.00626848738888972,0.0453588102747761,0.0577481882981802,51,91,0.528163497012163,-0.426349705130383,0.894284700022586,-1.08642684093446
3,5,0.0489603026916616,0.0200769481385195,0.00597999933846238,0.0453535417171891,0.0577420626109801,54,98,0.527288040171368,-0.4253826329464,0.895001285306754,-1.08743343035363
4,0,0.0914487460398214,0.026561312337064,0.0136739472119726,0.0451254855137056,0.058012850638797,45,105,0.608346586444613,-0.47017423650685,0.899693454336173,-1.09819555910528
4,1,0.0617566257986669,0.0194160211644843,0.00764316073447699,0.0453350231068006,0.057851981795679,48,106,0.529841390134336,-0.426484010053324,0.886892898601846,-1.07599119827842
4,2,0.051273629578843,0.0204079913049866,0.00666505532271306,0.0453163239797706,0.0578046893074666,51,107,0.548178827645788,-0.440191299177614,0.89056634348326,-1.08240873434415
4,3,0.0492078818925766,0.0199256987516744,0.00610945802676442,0.0453513076447734,0.0577540875377625,54,108,0.530103513468824,-0.427532836702198,0.895151781997999,-1.08714271716725
4,4,0.0485374987857748,0.0200252188725033,0.00580909430886282,0.0453541341484959,0.0577466908635327,57,109,0.531390133340093,-0.428709171076908,0.894263436069189,-1.08679628728612
4,5,0.0484154110134263,0.0200659746128686,0.00576397071139127,0.0453592950726877,0.0577386381298707,60,110,0.527330977667148,-0.42570452649845,0.894981383034947,-1.08749939343831
5,0,0.0914470208510154,0.0265610076376106,0.0136734287437074,0.0451255359007078,0.058013114794611,51,123,0.608517893237032,-0.470322089276673,0.899675653791566,-1.09816389784837
5,1,0.0617560327934769,0.0194145687312323,0.00764469011192198,0.0453349406412543,0.0578516290164809,54,124,0.530015620126933,-0.426619641031487,0.887104270499037,-1.07619657720106
5,2,0.0505149077253795,0.0200423817604046,0.00667176022424677,0.0453071571744222,0.0578122839613775,57,125,0.554046226430136,-0.444378854050074,0.889104181280191,-1.08135437947222
5,3,0.0487235200274221,0.0199230749728818,0.00603605509212491,0.0453512315131044,0.0577547474847388,60,126,0.532226694264637,-0.429234927179307,0.894716165215182,-1.08686559577535
5,4,0.0478827599491938,0.0200763733355074,0.00556159957610775,0.0453500413399604,0.0577469135171825,63,127,0.533813988827667,-0.430449720798081,0.893708245623787,-1.08655325628518
5,5,0.0477417590627807,0.0201913714582877,0.0054221239867384,0.0453608537357438,0.0577292356590841,66,128,0.524980877261596,-0.423892154859279,0.895445530730658,-1.08825584628567
